sports,body_spo
1887,'????????????????????????????? ??????????????????????????????????????????????????????????????? 2563 ?????????????????????????????????????????????????????? ??????? 1 ??????? 2563 ?????????????????? ??????????? 2 ?????? ?????????????????????????? ??.?.??? ????????????????????????????????????????????19 ??????????? ???????????????????????????????????????????????????????????????????????????.?.??????? ??????? ???????????????????????????????????? ?????????? ?????????? ?????? ?????????????????????????????????????????????????????? 2 ?????????????????????????????? ??????????????????????????????????????????????????? 2563 ?????????????????????????????????????????????????? ??????? 1 ??????? 2563 ????????????????????????????????????????????????????19 ???????????????????????????????????????????????? ????????? ???????? ????????? ?????????????????????????????????? ????????????????????????????????? ?????????????? ?????? ????????????????????????????????????????????????????????????? ??????????????????????????????????????????? 2563 ?????????????????????????????????????????????? 144 ????? ???????????????? 842 ????????? ?????? ??????????????????????????????????? 2 ?????? ?????? ???????????????????????????????????????? ??????? 2563 ???????????????????? 38 ??.?.63 ???????????????? 26 ??.?.1 ?.?.63 ??? ??????????????? ?.????????? ??????????? ??????????????????????????????????????????????????? ??????? 1 ??????? 2563 ????????????????????????? 11 ??.?.63 ???????????????? 10 ?.?.63 ??????????????? ?.?????? ?.??????'
1888,'??????? ?????????? ???????????? ???????? ???? ??????????????????????? ?????? ????????????????????????????????????????????? ????? ???????? ?????????????? ???????????????????????????????????????? ????????? ??????????????????? ?????????????????????????????????????????????????????????????????????????????????????????????????????????? ????????????????? ??????????? ????????????????????????????????????????????? ?.?. 2020 ??????????????????????? 3 ???????????????????????? ????????????????????? ????? ????????? 4 ???? 2 ????   ?????? ???????? ????????????????????????????????????????????????????????????????????????? ??????????????????????????????????????????????? ?????????????????? 8 ???? 9 ???????????????????? ? ??? ????????????????????????????????????????? ?????????????????????????????? ??????????????????????????????? ???????????????????????????????????????????????????????????????????  Getty Images'
1889,'?????????? ?????????????????????????????? ??????????????? ???????? ?????? ???????????????????????????????????????????????????? 6 ????? ?????????????????????????????????????????????????????????????????????????? ????????????????????????? ??????????????????????????????????????????????????????????? ?????????? ?????????? ????????? ?????????????????????????????????????????????? ???????????????????? ???????????????????????????????????????????????????????????????????????????? ?????????????? ????? ????? ????? ???????????????????????????????????????????????????????????? ?????????????????????????????????????????????????? ????? ???? ??????????? ?????????? ????????????????????????????????????????? ??????????????????????????????????????????????????????? 6 ????? ??????????????????????????????? 39 ??????????? ???????????????????????????????????????????????????????? ?????????????????????????????????????????  REUTERS'
1890,'????? ????????? ??????? ???????? ?????? ???????????????????????????????? ??????? ????????????????????????????????????????????????????????????????? ????? ???? ????????????????? ??????? ?????????????????????????????????????????????????? ???? ????????????????????????? ???????????? ?????? 04 ??????? 2018 ???? ????????????????????? 11 ??????????????????? 13 ??????????????????????????????? ?????? 5 ?????????????????? 6 ??????????????????? ??????????? ???????? ?????????????? ?????????????? ??????????????????? ?????????????????? ????????????????????????????? ??????????? ?????????????????????????????????????????????? ??????????????????????????????????????????????????????????? ???????????????????????????????????????????????? ????????????????????????????????????????????????? ???????????????????????????????????? ?????????????????????????? ????????????????????????????????????????  REUTERS'
1891,'?????? ??? ?????????????? ????????? ?????????? ????????????????????? ??????? ?????????? ??????????? ???????? ??????????????????????? ?????? ????????????????????????????????????????????????????????????????????? ?????????? ?????????????????????? ???????? ??????????? ?????? ??????? ????? ????????????????????????????????????????????? ????????????????????????? ?????????????????????????????????????????? ?????????? ???????????????????????? ????? ????????????????????? 26 ?? ????????????????????? ??????? ??????????? 20142018 ???? ???????? ?????????????????????????? ?????????????? ???????????? ????????????????????????????????????? ?????????????????????? ???????????????????  REUTERS'
1892,'?????????? ?????? ????????????????? ????? ??????????????????????? ?????? ????????? ????????????????????????????????????????????????????????????? ????????? ?????? ???????????????????????? ????????? ??????????????????????????????????? ?????????????????????? ?????????? ???????? ??? 5 ??????????????????????????????????????????? ?????? 2 ????? ????????? ????? ???????? ????????????????????????????????????????????????? ????????????????? ??????????????????????????????????????????????????????????????????????????????????????????????????????? ???????????????????? ???????? ????? ??? ???????? ?????????? ??????????????????????????????????????????????????????????????????????????? 33 ?? ???????????????????????????????????????????????????????? ??????????? ???????????????????????????????????????????????????????????????????????????????? ??????????????????????????????????????? ??????? 5 ????????????????????? ? ?????????????? ? ????????????????????????????????????????????????????????????????  AP'
1893,'??? ??????? ???????? ???????????????? ??????????? ???????????????? ?????????????????? ???????? ????????????????????????????????? 4 ?????? ????????????? 1 ???? ??????????? ????????????????????????????????????????? ???? ???????? ?????? ???????????? ???????????????????? ???????????????????????????????????????????????????????????? ???????????????????????????????????????????????????????? ??????????????? ?????????????????????????????????????????? ?????????????? ?????? ?????????????????????????????? ??????????????????????????? ????????????????????????????????????????????????????? ?????????????????????????????????????????????????????????'
1894,'???????????????????????????????? 140 ????? ??? ???????? ?????? ???????????? ???? ???????? ?????? ????????????????? 1 ??????????????? 23 ?? ???????????? ?????? 16 ???? ???? 13 ??????????????????????????????????????????? 140 ????? ???????????????????????????? IBF ??? ??? ??????? ???????? 2 ?????????? IBF ?????????????? WBA  ???????????????? ?????????????????? 16 ???? ???? 12 ???????? 2 ?.?. ??? ??????????? ???? ???????? ????? ????????????? ?????????????????????? ??????? ??????????? ???? ??? ????????????????????????? ????????????????????????????????? ???? ??????? ??????????????????? ??? ??? ?????????? ?????? ??? ???????? ??????????????????? ??????? ???????? ???????????????????????????????????? ????????????????????????????? ???????????????????????????????????????????????????? ???????????????????????????????????????????????? ?????????????????? ???????? ????????????????????????? ?????? ??? ???????? ?????????????????? ??????? ???????? ??? ??????? ???????????????????????????????????????? ??????????????????????????????????????? ??????????????? ??????? ??? ???????? ???????? ??????? ???????????????????????????????? ???? ?????????? ??????????????? ????????????????? ??????????????????????????? ???????? ???? ????????????????????????????????????????? ??????????????????? ????????????????????????? ??????????????????? ???????????????????????????????? ? ??? ???????? ??? ??????????????? ??? ??????? ???????????????????????????? ???????????????????'
1895,'??????????????????????????????????????????????????????????????????????????????2021????????????????????????????????????????????????????????23?.?.????????????????????????????????????????????????????????????????????????9386??????????????????????????????????????????????????????????????????????19????????14???????????????????????????????????????????????????????????????????????????????????????????12???????????????????????????????????????????6???????????14??????????????8??.?.???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????.???????????????????????????????????????????????.??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????5?????????????????????????????????3????????????????????????????????????????14??.?.??????????????????????????????????????????????????????????????????????63??????????????????????????.???????????????????????????????????????????????????????????????????????????.?.???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????'
1896,'????????? ????? ???????? ???????? ?????????? ????? ????? ??? ???????????? ?????? 18 ???? 19 ?.?. ??????????????????????????????????????????????????????19??????????? ???????????????????????? ????????????????????????? ??????? ?????????????????? ??????? ?????????????? 2020 ?????????????????? E ???????? ?????????????????? 2019 ????????????? 3 ??????? ????? ??? ???????????? ??????????? 3 ??.?. ???? ?????????????????????????????????????? ????? ??????????????????????????????? ??????????????????????????? ????????? ????? ????????? ?????????????? ???????? ???????????? ??????? ??????????????????? ??????????????? ??.?. ???????????????????????????????.?. ????????????????????? ???? ???????? ??????? ????? ??? ????????????? 1819 ?.?. ???????????????????????????????????????????19 ???????????????????????????????????? ???????????????????????? ??????? ?????????????????????? ????????????????????????????????????????????????????????? ???????????????????? ?????????????????????????????????????????? ????????????? ????????????????????? ??????? ??????? ???????????? ??????????????????????????????????????????????? ???????????? ???????? ????????????????????????????? ????????????????? ??????? ????????????????????????????????????????????????????????? ????????????????????????????????????????????????????????????????? ???????????????????????????????????? ????????????? ???????????????????.?. ????????????????????????????????????????????????.'
1897,'???????????????????? KTAXA Know You Can Football YouthU15 Acemy ????????????????????? 1315 ?? ?????????????????????????????????????? ???????????? ???????? ?????????????????? ?????19 ???????????????????????????????????????????????????????????? ????????????????????????????????????????????????????????? ???????????????????????????????????????????????????? 3 ????????????????? ?????????? ????????? ??????????? ??????????? ???????????????????????????????????? ??????????????? ?????? Line@  ktaxau15 ????????  www.krungthaiaxa.co.th ??? ??? 0953510873'
1898,'??????????????????????? ?????????????????????? ???????? 47 ????????????? ???????????????????????? ???????????????????????? ????????????? 515 ?.?. ???????????????????????????????????????? 46 ???????? ?????????? ????? ?????? ???????????? ???????? ?????????? ??????? ???????????? ????????? ????? ??????? ????????? ??????? ???????? ????? ???? ??????? ???????????? ??????? ??????? ????????? ????????? ??????? ??????????????????? ????????? ???? ?????? ??????  ???????????? ??????? ???????? ???????? ?????? ???????? ???????????? ???????????? ?????? ?????????? ?????? ?????????? ?????????? ??????? ?????? ??????????????? ????????????????? 2 ??????? ?????? ??? ??????????? ??.???????? ?????? ????????? ???????????????????? ??? ???????? ???????? ??????????????????????????? ????????????????????????????????????????????????????? ???????????????????????????????????????????????????????????????? ????????????????????????????????????????????????????????????????????? 3 ?????????? ????????? ?????? ??? ???????? ??????????????????????????????????????????????????? 49 ???? ?????? ?????? ????????????????????????????????????????????.???????? ?????? ????????? ???????????????????? ???????????? ????????????????????????????? ????????????????????????????????????????? ?????????????????????????????????????????? ?????????????????????????????????????? ???????????????? ????????? ??????????????????????????????? ?????????????? ?????????????????????????????????????????? ???????????????????????????????????????????????????? ???????????????????????? ????????????????????????????????????????????????????????????? ???????????????????????????????????? ????????????????????????????????????????????????? ?????????????????????? ????????? ?????? ??? ???????? ??????????????????????????? ???????? 47 ???? ????????????? ????????.'
